sentence,label,source
connected wifes bluetoothmotorola hs850 phone worked like charm whether phone pocket case,1,1
put latest os v115g likes slow crawl lock every,0,1
recognizes phone storage device,0,1
like loud buzzing override conversations phone,0,1
dont buy product,0,1
ive bluetoooth headset time still comfortable way fits ear,0,1
sound quality good functionality awesome,1,1
phone thorn side really abhor,0,1
recently problems could stay connected 10 minutes disconnected,0,1
incredible,1,1
design flaw,0,1
great phone,1,1
waste 13 bucks,0,1
check voice mail night keypad backlight turns seconds first message im lost,0,1
replacement died weeks,0,1
ring toneoverall good phone buy,1,1
lately extremely nice helpful phone,1,1
problems wit hit dropping signal,0,1
impressed,0,1
light weight hardly notice,1,1
youll love thin,1,1
bad choice,0,1
pleather case doesnt fit,0,1
useless phone simply deaf,0,1
color even prettier thought would graphics incredibly sharp,1,1
think good investment,1,1
makes strange ticking noises ends call,0,1
best electronics available fm transmitters,1,1
battery lasts hours,0,1
great headset impressed h500,1,1
12 mega pixel camera part phone reasonably good7,1,1
ive nearly 2 years worked great,1,1
good transmit audio,1,1
sending back,0,1
bother contacting company dollar product learned lesson bought form online anyway,0,1
hate earbugs avoid phone means,0,1
great price also,1,1
range decent ive able roam around house phone living room receptionsound quality issues,1,1
fast service,1,1
would highly recommend,1,1
would recommend,1,1
also didnt like button felt like would crack use,0,1
worst phone ever,0,1
im still infatuated phone,1,1
freezes frequently4,0,1
kind embarrassing use looks mostly embarrassing childlike company,0,1
simple lightweight great fit,1,1
id expected better consumer experience motorola,0,1
theres horrible tick sound background calls never experienced,0,1
certainly comfortable functionality decent,1,1
usually dont like headbands one lightweight doesnt mess hair,1,1
im bit disappointed,0,1
phone year tell great,0,1
ordered sony ericsson w810i think worked thats first used,0,1
battery completely useless,0,1
big waste time,0,1
dont waste one,0,1
great sound service,1,1
really pleased product far,1,1
one favorite purchases ever,1,1
best bluetooth market,1,1
authentic leather nice shine comfort recommend case,1,1
excited get headset thought really cute,1,1
make mistake,0,1
big disappointment calendar sync,0,1
phone unusable new,0,1
worst customer service ever,0,1
additional ear gels provided instructions whatsoever,0,1
defeats purpose bluetooth headset,0,1
worth every penny,1,1
excellent wallet type phone case,1,1
nice headphones price work great,1,1
internet excrutiatingly slow,0,1
comfortable wear well probably important aspect using case,1,1
fits like glove strong secure durable,1,1
gosh best phone ever,1,1
attractive appears good quality,1,1
love features form factor,1,1
product strong rubberpetroleum smell unbearable caused return,0,1
poor quality service,0,1
cable looks thin flimsy scary,0,1
great earpiece,1,1
excellent hands free tool,1,1
great using home stereo,1,1
good product incredible value,1,1
month worked flawlessly far,1,1
works great,1,1
absolutel junk,0,1
one didnt work either,0,1
battery life real good,1,1
returned 8 hours later,0,1
great item,1,1
dont waste money,0,1
love headset,1,1
drain player may also potentially fry,0,1
worked perfectly,1,1
unreliable im giving,0,1
gave 5 stars sound quality,1,1
avoid one,0,1
reversible plug works great,1,1
wasted little money earpiece,0,1
good phone,1,1
best rotating feature helpful,1,1
comfort whole family,1,1
good product good seller,1,1
love bluetooth,1,1
first doesnt wear well,0,1
impressed headset plantronics,1,1
got small adorable,1,1
great phone,1,1
wouldnt recommend buying product,0,1
piece junk,0,1
poorly contstruct hinge,0,1
item great installed let charged overnite working good every since problems,1,1
great phone,1,1
dont buy,0,1
excellent phone,1,1
purchase phone,0,1
voice recognition thru handset excellent,1,1
hands best phone ive ever,1,1
works great cat attacked phone scratched protective strip instead destroying screen,1,1
one works priced right,1,1
customer service terrible,0,1
battery life still long enough motorola razor v3i,0,1
sending back,0,1
know made wise decision,1,1
someone shouldve invented sooner,1,1
good price,1,1
everything worked first trythe device certainly engineered clever way construction feels good,1,1
received quickly works great,1,1
working great,1,1
many people complained found headsets microphone weak,0,1
5year old nokia 2160 tracfone holds charge lot better,0,1
care consumer one bit,0,1
good battery got really fast,1,1
instruction manual lacking,0,1
also slim enough fit alarm clock docking station without removing case,1,1
phone holds charge like new,1,1
battery unreliable well service use antena,0,1
uncomfortable sound quality quite poor compared phone razr previous wired headset plugged lg,0,1
gotten lot compliments,1,1
definitely must state allow cell phone usage driving,1,1
want money back,0,1
love device,1,1
also happy price,1,1
ordered product first unhappy immediately,0,1
ngage still lacking earbuds,0,1
able voice dialing car problem,1,1
23 bars cell phone home cant hear anything,0,1
good item low price,1,1
howeverthe riingtones best neither games,0,1
plug work well,0,1
amazon sucks,0,1
rip charge shipping,0,1
comfortable,1,1
battery working well replacement original came phone 2 years ago,1,1
reception excellent,1,1
fits comfortably either ear sound clear loud charge lasts couple days,1,1
clear quality sound dont mess sound ipod since sound buttons headset,1,1
1 long lasting battery dont recharge frequentyly flip phones2,0,1
obviously problem adhesive,0,1
disappointing,0,1
inexpensive piece would still expected better quality,0,1
practically useless add kind boost reception bought,0,1
excellent sound quality,1,1
happy,0,1
piece junk broke phone 2 days,0,1
new battery works great phone,1,1
worst customer service,0,1
ive dropped phone times say even concrete phone still great knock wood,1,1
reception terrible full static,0,1
good audio quality,1,1
little device transformed organizational capability made life whole lot easier,1,1
sitting vehicle cradle belt headset lost signal,0,1
jerks phone,0,1
works like charm works advertised,1,1
comfortable nice range good battery life,1,1
network coverage los angeles horrible,0,1
excellent starter wireless headset,0,1
loudspeaker option great bumpers lights appealing,0,1
thing think could improve sound leaks headset,0,1
first reception sucks never 2 bars ever,0,1
phone gets extremely hot,0,1
microphone also works well according people called applifies everything,1,1
nice design quality,1,1
also phone dropped case going save specially dropped face,0,1
light easy use clear reception transmission,1,1
bad fit way big,0,1
definitely good s11,1,1
awesome device,1,1
waste money,0,1
ordered motorola data cable got well finished working product,1,1
love phone,1,1
looking headset long time ive got couldnt happier,1,1
ill drivng along headset starts ringing reason,0,1
display excellent camera good year,1,1
battery life also great,1,1
worst phone ive ever months,0,1
good item worked started problems auto reverse tape player,0,1
embarassing also ears hurt try push ear plug ear,0,1
protects phone sides,1,1
average phone bad battery life operates weak network,0,1
clear skype calls long battery life long range,1,1
soyo technology sucks,0,1
great hands free device,1,1
even take self portraits outside exterior display cool,1,1
problem others mentioned,0,1
trying many many handsfree gadgets one finally works well,1,1
magical help,1,1
worst piece crap ever along verizon customer service,0,1
poor sound quality,0,1
best phone market,1,1
worked well,1,1
company shipped product promptly works well,1,1
exactly wanted,1,1
picture resolution far comparablypriced phones offering today,0,1
great deal,1,1
excellent product satisfied purchase,1,1
highly recommend encourage people give try,1,1
better youd expect,1,1
using earpieces left right thing stay ear,0,1
great product price,1,1
sounds good reasonably priced effective simple,1,1
still waiting im sure item would work well ever recieve,0,1
disappointment,0,1
prompt service,1,1
excellent product price,1,1
pleased headset,1,1
dont waste money time,0,1
especially love long battery life,1,1
stupid keep buying new chargers car chargers cradles headphones car kits every time new phone comes,0,1
works great,1,1
plantronics bluetooth excelent buy,1,1
came verizon cingulair nicer cell phones first thing noticed really bad service,0,1
ill looking new earpiece,0,1
highly recommend device everyone,1,1
jawbone era awesome,1,1
received white colored battery goes dead couple hoursthe original used last week still lasts longer thereplacement,0,1
year battery went completely dead headset,0,1
used several phone two years one best,1,1
awesome new look fall 2000,1,1
first phone ive cheaply made,0,1
att clear sound distorted yell talk,0,1
plastic breaks really easy clip,0,1
price good,1,1
dont make mistake,0,1
oh forgot also mention weird color effect phone,0,1
im using iriver spinn case fits fine,1,1
also area unit broke im fond magnetic strap,0,1
overall psyched phone appointments contacts gets great reception,1,1
every thing phone work perfectly like,1,1
another note phones appearance really looks rather bland especially black model,0,1
really easy,1,1
sanyo survived dozens drops blacktop without ill effect,1,1
fantastic earphones,1,1
finds cell phone right away enter car,1,1
low quality,0,1
highly recommend modest priced cellular phone,1,1
get better reception clarity phone ive,1,1
warning stay away,0,1
wish could return unit get back money,0,1
awsome device works great,1,1
used talk 1 1 12 hours battery would literally drained dying,0,1
dont find bad unit comes one earpad onlyi would recommend anyone,0,1
displeased,0,1
might gotten defect would risk buying built quality alone,0,1
made case small difficult install,0,1
restored phone like new performance,1,1
would recommend purchasing jabra jx10 series 2 works flawlessly moto q go figure,1,1
searched internet found one best value,1,1
fit,0,1
happy product,1,1
screen size big key pad lit well enough camera quality excellent camera phone,1,1
theres really nothing bad say headset,0,1
im glad found product amazon hard find wasnt high priced,1,1
portable works,1,1
colleague get great receptiona little expensive performance great,1,1
even fully charged went bed turned blue tooth wifi noticed 20 left morning,0,1
ive also problems phone reading memory card always turn,0,1
good wearing hat sunglasses,0,1
timely shipment quality product,1,1
nice solid keyboard,1,1
well made fits surefire gx2 perfectly,1,1
horrible phone,0,1
bt50 battery junk,0,1
would recommend others,1,1
cant get software work computer,0,1
disappointed,0,1
poor voice clarity,0,1
battery works great,1,1
buyers remorse one,0,1
disappointed accessoryone,0,1
find inexcusable probably returning phone perhaps changing carriers,0,1
looks great strong,1,1
tmobile service 2 3 years pretty happy,1,1
update procedure difficult cumbersome,0,1
disappointment hate anything goes ear,0,1
great software motorolas,1,1
delivery time,1,1
easy use,1,1
uncomfortable ear dont use lg vx9900 env,0,1
volume switch rocketed unit destination unknown,0,1
holds charge long time reasonably comfortable longwearing conditions quality sound tremendous,1,1
id like return,0,1
keyboard really worthwhile usefulness sturdy enough dont expect problems,1,1
verizons bills however difficult understand even though pricing plans simple,0,1
charging overnight batteries work great,1,1
wont regret,1,1
love phone,1,1
disappointment,0,1
user friendly,0,1
unfortunately ability actually know receiving call rather important feature phone pitiful respect,0,1
exchanged phone even problem,0,1
results phone either stuck max volume mute,0,1
pda rocks,1,1
super charged use small hybrid palmtopcameracellphone excels roles,1,1
would definitely recommend jabra bt250v looking comfort clarity great price,1,1
verizon 2 years ago really liked service,1,1
pretty piece junk,0,1
plug wrong size,0,1
works described,1,1
save money ive item 11 months,0,1
bad purchase,0,1
well im satisfied,1,1
bose noise cancelling amazing important nyc commuter,1,1
battery excellent bargain,1,1
defective crap,0,1
would given star able,0,1
wear glasses fits fine,1,1
sound quality device unacceptableunless really quiet area almost hear nothing,0,1
would recommend item anyone,0,1
holster arrived match photo ad,0,1
greatno problems,1,1
earlier review noted plug charger nothing happens,0,1
frog phone charm adorable eye catching,1,1
never know pushed hard enough right number times function want,0,1
sound clear people talk amazed quality,1,1
got aluminum case new palm vx worked really wellit protected handheld perfectly far,1,1
good product well made,1,1
mobile phone tools must,1,1
impressed job motorola sturdiness phone,1,1
received orders well within shipping timeframe everything good working order overall excited source,1,1
phone sturdy waterproof,1,1
impressed would recommend item anyone,0,1
complaint standard sound volume little low even turned 5of 5,0,1
thanks amazon things need good price,1,1
ended sliding edge pants back pockets instead,1,1
go store bought new nokia phone working great,1,1
works great,1,1
really ugly,0,1
horrible switch 3 times,0,1
noise shield incrediable,1,1
real improvement,0,1
razr battery good buy,1,1
keep good work amazon,1,1
refuse refund replace,0,1
unfortunately easy accidentally activate gentletouch buttons accidentally touch phone face listening,0,1
basically threw money window nothing,0,1
great case price,1,1
took one drop 6 inches kitchen counter crackedi impressed laughing,0,1
bluetooth range good days ago left phone trunk got call carried conversation without hitch,1,1
small sleek impressive looking practical setup ample storage place,1,1
eargels channel sound directly ear seem increase sound volume clarity,1,1
none new ones ever quite worked properly,0,1
glad purchased,1,1
ive missed numerous calls reason,0,1
perhaps phone defective people cannot hear use,0,1
dont buy product,0,1
sucked stuff work phone,0,1
shifting bubbling peeling even scratch nothingi couldnt happier new one droid,1,1
worst software ever used could give zero stars would,0,1
trying make call exercise frustration,0,1
case flimsy piece plastic front side protection whatsoever,0,1
jabra earset happy sound quality especially outgoing better,1,1
love camera really pretty good quality,1,1
thank great service,1,1
total package,1,1
seller understanding patient would definitely buy,1,1
give wirefly 1 stari contact cingularatt inform practice,0,1
aggravating,0,1
great product price,1,1
purchased family friends enjoy clarity ease use,1,1
virgin wireless rocks cheap little phone,1,1
none works dont buy,0,1
muddy low quality sound casing around wires insert poorly super glued slid,0,1
please dont waste money,0,1
im quite satisfied purchase,1,1
looking good quality motorola headset keep looking isnt,0,1
yet plantronincs continues use flawed charger design,0,1
disapointing results,0,1
cumbersome design,0,1
great new packaged nice works good problems came less time expected,1,1
great product,1,1
piece crap,0,1
experience terrible fourth bluetooth headset much comfortable last jabra hated,0,1
fixes problems,1,1
worst ever,0,1
happy,1,1
ive trouble accessing internet downloading ringtones performing functions,1,1
barely ever hear constantly saying,0,1
battery life highly unacceptable,0,1
company joke,0,1
everything description said would,1,1
due happening every call forced stop using headset,0,1
works great car charger especially cannot plug two adapters time,1,1
verizon tech support walked procedures none worked ended hard reset wiping data,0,1
voice quality signal strength dropped calls,0,1
plays louder speaker size price low would think quality lacking however,1,1
better expected,1,1
feels poorly constructed menus difficult navigate buttons recessed difficult push,0,1
battery holding well,1,1
also difficult put onid recommend avoiding product,0,1
used two days wasnt always easy hear,0,1
got car charger even week charger brokeni went plug started smoking,0,1
sprint terrible customer service,0,1
linked phone without effort,1,1
cool,1,1
easy use,1,1
better new,1,1
possesed get junk idea,0,1
piece trash,0,1
pretty good product,1,1
great phone,1,1
price amazon excellent product would highly recommend,1,1
research development division obviously knows theyre,1,1
real killer volume course breaking,0,1
phones working fine,1,1
happy product,1,1
poor construction,0,1
infuriating,0,1
overall would recommend phone new walkman,1,1
sprint charges service,0,1
cheap feel look cheap,0,1
fits ear well comfortable,1,1
doesnt work europe asia,0,1
clipping belt deffinitely make feel like 50 cents upandcoming,1,1
like design look jabra behing ear headsets 5020 pretty comfortible wear 24 hours day without pain ear,1,1
amazed quick arrival two original lg cell phone batteries fraction price,1,1
worst phone samsungcrap crappy samsung e715 worst ever seeen,0,1
charger worked week completely stopped charging phone,0,1
poor product,0,1
however needed better instructions,0,1
need two hands operate screenthis software interface decade old cannot compete new software designs,0,1
worked well paired treo 700w skype headset pc using usb bluetooth transceiver,1,1
steer clear product go genuine palm replacementr pens come threepack,0,1
buy buyit sucks,0,1
great product sure beats using fingers,1,1
plus seriously believe worth steep price point,0,1
cases ive tried normally fall apart months one seems long haul,1,1
dissapointing performance,0,1
dont make mistake please dont buy phone,0,1
phone might well worst ive ever brand,0,1
case less extra originally put later discarded scratched ear,0,1
recommend igo anyone different brand cell phonesmp3 players family,1,1
dont bother go store,0,1
posted detailed comments grey black phone fire red great color,1,1
problem item would order needed,1,1
get pay guess,0,1
software great job could also make ringtones form existing cds without internet connection,1,1
im surprised good quality car charger theres much reviews,1,1
fabulous,1,1
however bt headsets currently good real time games like firstperson shooters since audio delay messes,0,1
used bitpim free program find internetto transfer data phonethe price cable excellent,1,1
disappointing accessory good manufacturer,0,1
performed awful muffled tinny incoming sound severe echo end call,0,1
windresistant,1,1
obviously terrible customer service get pay,0,1
last forever overly expensive replaceeasy operate sound much better others tried,1,1
contacted company told although unit still warranty couldnt produce receipt luck,0,1
linksys way exchange bad phone refurb unit something,0,1
phone sturdy nokia bar phones,1,1
great phone,1,1
placed treo case snug lot extra room sides,0,1
im pleased,1,1
battery terrible,0,1
found product easy set use,1,1
earpiece large heavyit keeps falling ear,0,1
utter crap sound quality terrible,0,1
charger arrived within promised timeframe work,0,1
ear loop needed tiny sound great,1,1
finally three four times spring latch broke could use longer visor,0,1
handsfree part works fine car tries download address book treo rebootsoverall still rate device high,1,1
talk useless customer service,0,1
felt light tinny,0,1
fit palm tungsten e2 broke first time tried plug,0,1
im happy purchase good quality low price,1,1
love look feel samsung flipphones,1,1
welldesigned sharp blue nice color,1,1
everything,1,1
could recommend,0,1
nice sound,1,1
looks good picture case huge disappointment,0,1
much less jawbone going replace,1,1
setup went smoothly,1,1
extremely slow takes forever anything,0,1
must study anyone interested worst sins industrial design,0,1
first thing happened tracking,0,1
well made easy access phone handy detachable belt clip,1,1
continue pairing periodically since somehow kept dropping,0,1
cant upload ringtones third party,0,1
bluetooth work phone locks screens flash makes calls randomly pocket locked,0,1
truly awful,0,1
works fine motorola 325 cellphone lot better wornout battery,1,1
volume ringer real good choices loud,1,1
none tones acceptable,0,1
camera color balance awful,0,1
product clearly ready prime time dont care cool looks cant tell call coming worthless,0,1
love ringtones upbeat,1,1
chinese forgeries abound,0,1
easy pair samsung cell,1,1
instructions didnt explain microphone jack could used,0,1
would advise purchase item never worked well,0,1
bad pay month service,0,1
works well,1,1
nokia ca42 usb cable work phone,0,1
clear crisp sound,1,1
use smallest earpieces provided stays pretty well,1,1
biggest complaint battery drains superfast,0,1
design might ergonomic theory could stand ear,0,1
buy want use holster,0,1
phone also take great pictures even video clips,1,1
doesnt make look cool,0,1
ears occupied background distracting,1,1
comfortable fit need headset comfortable least hour time entire day,1,1
also phone doesnt seem accept anything except cbr mp3s preferably ripped windows media player,0,1
cant beat price,1,1
comes strong light use light camera shots even flash sos signals seriously,1,1
lightweight works well,1,1
beware,0,1
love cable allows connect miniusb device pc,1,1
anyone near hear part conversation,0,1
cool cases open allowing screen get scratched,1,1
bought phone replacement startac regretted since,0,1
appears actually outperform original battery china came v325i,1,1
cant store anything phone numbers sim,0,1
lasts less 3o minutes actually try use phonemy wife phone problem,0,1
poor quality,0,1
jabra ear gels r best,1,1
worth,0,1
phone crashed completely get replaced,0,1
quit working id used 18 months purchased another one best headset ive ever owned,1,1
unfortunately recharge iphone 4s despite connecting multiple power sources imac external battery wall outlet etc,0,1
great phone,1,1
simply want small flip phone look elsewhere extra bells whistles mediocre,0,1
good value works fine power via usb car wall outlet,1,1
phone doesnt slide around car grip prevents phone slipping hand,1,1
simply best bluetooth headset sound quality,1,1
think plan onethis sure last moto phone,0,1
span hour two people exclaim whoa new phone tv,1,1
always used corded headsets freedom wireless helpful,1,1
case passed one year mark shows signs wear 100 functional,1,1
leather nice soft fit tight cut face good shape,1,1
everything need couldnt ask,1,1
receiving using product 2 days broke,0,1
product great makes working lot easier go copier waiting hold something,1,1
none three sizes sent headset would stay ears,0,1
tmobile best customer service anywhere,1,1
arrived quickly much less expensive others sold,1,1
tried 2 units failed within 2 months pros,0,1
provides good protection looks classy,1,1
krussel always good,1,1
tracfonewebsite user friendly makes easy toactivate etc,1,1
design good4,1,1
great reception time,1,1
would highly recommend product,1,1
couldnt use unit sunglasses good texas,0,1
dit work time nokia 5320,0,1
bought mainly charger broke soon purchasing,0,1
like loud buzzing override conversations phone,0,1
fantastic buy get whatever next phone,1,1
stay away store careful,0,1
blueant supertooth handsfree phone speaker awesome,1,1
fit,0,1
item arrived quickly works great metro pcs samsung schr450 slider phone sony premium sound ear plugs,1,1
light plenty battery capacity confortable wear somewhat extended periods time,1,1
disappointing,0,1
blue ant easy use,1,1
cheap hey works pleasantly suprised given low cost item,1,1
camera phone may used dustpan indoors id rather using disposable,0,1
days later puff smoke came phone use,0,1
convenient simple use gets job done makes car ride much smoother,1,1
nano stated itmy son dissapointed,0,1
sound quality excellent well,1,1
best headset used,1,1
would reccommend,0,1
around years carries highest quality antiglare screen protector found date,1,1
wanted,1,1
particular model would work motorola q smartphone,0,1
wont work right atleast,0,1
addition feels amp looks phone lightweight cheap plastic,0,1
warranty problems reoccurebottom line put money somewhere else cingular support,0,1
really wanted plantronics 510 right one many issues methe good,0,1
great product,1,1
crisp clear,1,1
first charge kept going dead 12 minutes,0,1
cheap plastic creaks like old wooden floor,0,1
get absolutely horrible reception apartment phones problem,0,1
reception generally good,1,1
excellent sound battery life inconspicuous boot,1,1
great bluetooth,1,1
highly recommend case,1,1
worthwhile,1,1
great deal,1,1
phone got year old slowly breaking despite much care part,0,1
sorry made purchase,0,1
bought hoping could make bluetooth headset fit better things made impossible wear,0,1
treo tmobile refused replace forced buy another phone without kind upgrade discount,0,1
horrible,0,1
dont think would hold securly belt,0,1
allows possibility double booking date time first,0,1
work 2 weeks break,0,1
simple use like,1,1
great tool entertainment communication data managementoh sure use activesync 42 optimal data synchronization results,1,1
cant use case smell disgusting,0,1
wanted,0,1
2 cases would order another,1,1
great phone,1,1
bought battery coupon amazon im happy purchase,1,1
internet access fine rare instance worked,0,1
perfect ps3,1,1
five star plus plus,1,1
good quality bargain bought bought cheapy big lots sounded awful people end couldnt hear,1,1
50 drain,0,1
tried talking real loud shouting telephone gets old still told wasnt great,0,1
good works fine,1,1
price great deal,1,1
great price,1,1
wind completely useless,0,1
yes shiny front side love,1,1
work,0,1
first thought grtting good deal 744 plugged phone v3c razr,0,1
reception headset excellent,1,1
2 thumbs seller,1,1
verizon lg phone work well together good reception range exceeds 20 feet line sight,1,1
improper description return,0,1
1 works 2 comfortable,1,1
battery chargelife quite long,1,1
jabra eargels fit ears well,1,1
battery life,0,1
checked everywhere feature really disappointing,0,1
product exactly described,1,1
gets signal verizon phones wont,1,1
doesnt job,0,1
would recommend,1,1
plan ordering,1,1
said phone camera nice many cool effects play video decent well,1,1
satisfied cell phone day one,1,1
keep getting better better third one ive numerous palms,1,1
awkward use unreliable,0,1
shipping time also quick,1,1
good hoped,0,1
good case,1,1
doesnt work,0,1
really good product,1,1
unfortunately work,0,1
three broke within two months use,0,1
dont buy,0,1
father v265 battery dying,0,1
however ear pads come easily one week lost one,0,1
calls drop phone comes screen goes black worst stops ringing intermittently,0,1
horrible horrible protector,0,1
dont like nokia either,0,1
reaching bottom row uncomfortable send end keys expect be3,0,1
bought nokia cell phone weeks ago nightmare,0,1
would take long describe bad customer service experience amazon,0,1
disappointing thing speakerphone,0,1
terrible car accept cassette,0,1
product useless since enough charging current charge 2 cellphones planning use,0,1
says,0,1
stay away q,0,1
used dirty,0,1
unreliable service tmobile,0,1
good enough price,0,1
bought two neither charge,0,1
looks nice,1,1
excellent tool especially paired phones autoanswer,1,1
read others reviews havent problem,1,1
products cover important light sensor ear outlet,0,1
comfortable hand,1,1
work,0,1
poor reliability,0,1
works,1,1
take picture battery drops bar starts beeping letting know dieing,0,1
terrible product waste money,0,1
last time buying,0,1
waste money,0,1
far worked like charm,1,1
weeks far good,1,1
case best part download pictures laptop using ir even send pictures laptop phone,1,1
would recommend item,1,1
choice headset yearsgreat sound good volume good noise cancellation,1,1
nice case feels good hands,1,1
item received counterfeit,0,1
really good far probably best bt headset ever,1,1
works fine,1,1
received headset good time happy,1,1
pleased see could replace well travled swivel holster blackberry flip,1,1
sister one also loves,1,1
good quality,1,1
far worst purchase ive made amazon,0,1
excellent dualpurpose headset,1,1
excellent,1,1
work listening music cingular 8125,0,1
seems completely secure holding belt keeping iphone inside,1,1
bottowm lineanother worthless cheap gimmick sprint,0,1
trouble volume,0,1
